2026-01-19 19:07:24 | INFO     | Logger initialized
2026-01-19 19:07:24 | INIT     | ================================================================================
2026-01-19 19:07:24 | INIT     | [RUN CONFIGURATION] instance=XL-n5406-k783.vrp run=0
2026-01-19 19:07:24 | INIT     | seed = 223208834
2026-01-19 19:07:24 | INIT     | scp_solvers = ['gurobi_mip']
2026-01-19 19:07:24 | INIT     | scp_switch_prob = 0.0
2026-01-19 19:07:24 | INIT     | time_limit_scp = 900.0
2026-01-19 19:07:24 | INIT     | scp_every = 3
2026-01-19 19:07:24 | INIT     | time_limit_total = 35000.0
2026-01-19 19:07:24 | INIT     | max_no_improvement_iters = 50
2026-01-19 19:07:24 | INIT     | min_avg_cluster_size = 100
2026-01-19 19:07:24 | INIT     | max_avg_cluster_size = 2500
2026-01-19 19:07:24 | INIT     | routing_solvers = ['pyvrp', 'filo1', 'filo2']
2026-01-19 19:07:24 | INIT     | routing_no_improvement = None
2026-01-19 19:07:24 | INIT     | ls_neighbourhood = dri_spatial
2026-01-19 19:07:24 | INIT     | ls_after_routing_max_neighbours = 300
2026-01-19 19:07:24 | INIT     | ls_max_neighbours_restricted = 200
2026-01-19 19:07:24 | INIT     | randomize_polar_angle = True
2026-01-19 19:07:24 | INIT     | warm_start_solutions = None
2026-01-19 19:07:24 | INIT     | log_mode = instance
2026-01-19 19:07:24 | INIT     | log_to_console = False
2026-01-19 19:07:24 | INIT     | periodic_sol_dump = True
2026-01-19 19:07:24 | INIT     | sol_dump_interval = 3600.0
2026-01-19 19:07:24 | INIT     | ================================================================================
2026-01-19 19:07:26 | INFO     | [XL-n5406-k783 ITERATION 1] mode=VB method=sk_kmeans k=1 solver=filo2
2026-01-19 19:08:08 | INFO     | [XL-n5406-k783 CLUSTER] method=sk_kmeans k=1 | sizes=[5405] | min=5405 max=5405 avg=5405.0
2026-01-19 19:08:08 | INFO     | [XL-n5406-k783 ROUTING] Solving clusters with filo2
2026-01-19 19:14:18 | INFO     | [XL-n5406-k783 IMPROVED-VB/RB] best_cost=1043792 | Gap: 0.3421%
2026-01-19 19:14:18 | INFO     | [XL-n5406-k783 ITERATION 2] mode=RB method=sk_ac_avg k=4 solver=filo2
2026-01-19 19:14:18 | INFO     | [XL-n5406-k783 CLUSTER] method=sk_ac_avg k=4 | sizes=[2632, 1713, 716, 344] | min=344 max=2632 avg=1351.2
2026-01-19 19:14:18 | INFO     | [XL-n5406-k783 ROUTING] Solving clusters with filo2
2026-01-19 19:24:25 | INFO     | [XL-n5406-k783 IMPROVED-VB/RB] best_cost=1042729 | Gap: 0.2399%
2026-01-19 19:24:25 | INFO     | [XL-n5406-k783 ITERATION 3] mode=RB method=sk_ac_min k=7 solver=filo2
2026-01-19 19:24:25 | INFO     | [XL-n5406-k783 CLUSTER] method=sk_ac_min k=7 | sizes=[5300, 48, 13, 7, 23, 6, 8] | min=6 max=5300 avg=772.1
2026-01-19 19:24:25 | INFO     | [XL-n5406-k783 ROUTING] Solving clusters with filo2
2026-01-19 19:33:56 | INFO     | [XL-n5406-k783 SCP] solver=gurobi_mip | route_pool=2220
2026-01-19 19:33:56 | INFO     | [XL-n5406-k783 SCP] optimal solution found
2026-01-19 19:35:05 | INFO     | [XL-n5406-k783 IMPROVED-SCP] best_cost=1042727 | Gap: 0.2398%
2026-01-19 19:35:05 | INFO     | [XL-n5406-k783 ITERATION 4] mode=RB method=sk_ac_min k=9 solver=pyvrp
2026-01-19 19:35:05 | INFO     | [XL-n5406-k783 CLUSTER] method=sk_ac_min k=9 | sizes=[5057, 276, 7, 13, 6, 8, 8, 23, 7] | min=6 max=5057 avg=600.6
2026-01-19 19:35:05 | INFO     | [XL-n5406-k783 ROUTING] Solving clusters with pyvrp
2026-01-19 19:42:49 | INFO     | [XL-n5406-k783 NO-IMPROVEMENT] best_cost=1042727 | streak=1 | Gap: 0.2398%
2026-01-19 19:42:49 | INFO     | [XL-n5406-k783 ITERATION 5] mode=RB method=sk_kmeans k=10 solver=filo2
2026-01-19 19:42:51 | INFO     | [XL-n5406-k783 CLUSTER] method=sk_kmeans k=10 | sizes=[1092, 504, 281, 428, 395, 282, 374, 501, 369, 1179] | min=281 max=1179 avg=540.5
2026-01-19 19:42:51 | INFO     | [XL-n5406-k783 ROUTING] Solving clusters with filo2
2026-01-19 19:55:18 | INFO     | [XL-n5406-k783 IMPROVED-VB/RB] best_cost=1042667 | Gap: 0.2340%
2026-01-19 19:55:18 | INFO     | [XL-n5406-k783 ITERATION 6] mode=RB method=sk_ac_complete k=4 solver=pyvrp
2026-01-19 19:55:18 | INFO     | [XL-n5406-k783 CLUSTER] method=sk_ac_complete k=4 | sizes=[2976, 660, 581, 1188] | min=581 max=2976 avg=1351.2
2026-01-19 19:55:18 | INFO     | [XL-n5406-k783 ROUTING] Solving clusters with pyvrp
2026-01-19 20:06:55 | INFO     | [XL-n5406-k783 SCP] solver=gurobi_mip | route_pool=4398
2026-01-19 20:07:09 | INFO     | [XL-n5406-k783 SCP] optimal solution found
2026-01-19 20:08:10 | INFO     | 
2026-01-19 20:08:10 | INFO     | ================================================================================
2026-01-19 20:08:10 | INFO     | [XL-n5406-k783] PERIODIC SNAPSHOT SNAPSHOT_001
2026-01-19 20:08:10 | INFO     | ================================================================================
2026-01-19 20:08:10 | INFO     | Route #1: 2672 4614 3451 216 2005 791 3464 4212 || mode=rb method=sk_kmeans solver=filo2 stage=post_ls iter=5
2026-01-19 20:08:10 | INFO     | Route #2: 391 248 3381 5376 3195 2487 || mode=rb method=sk_kmeans solver=filo2 stage=post_ls iter=5
2026-01-19 20:08:10 | INFO     | Route #3: 5400 3198 1275 4081 4465 5298 || mode=rb method=sk_kmeans solver=filo2 stage=post_ls iter=5
2026-01-19 20:08:10 | INFO     | Route #4: 4812 4913 2446 4752 2002 2591 913 || mode=rb method=sk_kmeans solver=filo2 stage=post_ls iter=5
2026-01-19 20:08:10 | INFO     | Route #5: 596 3806 2001 148 4884 2698 1172 1517 || mode=rb method=sk_kmeans solver=filo2 stage=post_ls iter=5
2026-01-19 20:08:10 | INFO     | Route #6: 2125 1591 2808 4581 2477 2763 || mode=rb method=sk_kmeans solver=filo2 stage=post_ls iter=5
2026-01-19 20:08:10 | INFO     | Route #7: 3214 1774 3530 4269 953 || mode=rb method=sk_kmeans solver=filo2 stage=post_ls iter=5
2026-01-19 20:08:10 | INFO     | Route #8: 2401 1052 1777 2097 4366 2352 3658 || mode=rb method=sk_kmeans solver=filo2 stage=post_ls iter=5
2026-01-19 20:08:10 | INFO     | Route #9: 4079 5237 3642 1668 789 || mode=rb method=sk_kmeans solver=filo2 stage=post_ls iter=5
2026-01-19 20:08:10 | INFO     | Route #10: 3950 2023 1731 2897 224 942 || mode=rb method=sk_kmeans solver=filo2 stage=post_ls iter=5
2026-01-19 20:08:10 | INFO     | Route #11: 3863 507 1522 2613 1285 1262 || mode=rb method=sk_kmeans solver=filo2 stage=post_ls iter=5
2026-01-19 20:08:10 | INFO     | Route #12: 2111 912 856 1905 5301 893 1783 4585 || mode=rb method=sk_kmeans solver=filo2 stage=post_ls iter=5
2026-01-19 20:08:10 | INFO     | Route #13: 5379 3700 2987 3711 2065 3982 4869 || mode=rb method=sk_kmeans solver=filo2 stage=post_ls iter=5
2026-01-19 20:08:10 | INFO     | Route #14: 460 3282 2256 4830 4228 903 3679 1649 1739 || mode=rb method=sk_kmeans solver=filo2 stage=post_ls iter=5
2026-01-19 20:08:10 | INFO     | Route #15: 1419 1189 996 5210 519 || mode=rb method=sk_ac_min solver=filo2 stage=post_ls iter=3
2026-01-19 20:08:10 | INFO     | Route #16: 3668 4535 3689 2976 3075 5156 4146 3329 || mode=rb method=sk_kmeans solver=filo2 stage=post_ls iter=5
2026-01-19 20:08:10 | INFO     | Route #17: 2809 1832 4319 3180 1720 1948 5096 3005 || mode=rb method=sk_kmeans solver=filo2 stage=post_ls iter=5
2026-01-19 20:08:10 | INFO     | Route #18: 4109 1394 4076 607 1539 3971 || mode=rb method=sk_kmeans solver=filo2 stage=post_ls iter=5
2026-01-19 20:08:10 | INFO     | Route #19: 4360 2774 576 3325 1741 1329 || mode=rb method=sk_kmeans solver=filo2 stage=post_ls iter=5
2026-01-19 20:08:10 | INFO     | Route #20: 4158 4385 4701 2909 937 4650 695 1164 || mode=rb method=sk_kmeans solver=filo2 stage=post_ls iter=5
2026-01-19 20:08:10 | INFO     | Route #21: 118 3744 3089 853 3231 2852 1549 || mode=rb method=sk_kmeans solver=filo2 stage=post_ls iter=5
2026-01-19 20:08:10 | INFO     | Route #22: 4482 4455 846 1028 1688 3760 2522 4005 || mode=rb method=sk_kmeans solver=filo2 stage=post_ls iter=5
